variant,trial,score,units,n_layers,dropout,age_embed_dim,geo_embed_dim,learning_rate
square_unlimited,0,0.00012972144759260118,32,5,0.2,5,5,0.0010717589973807434
square_unlimited,1,5.811119990539737e-05,128,2,0.0,5,8,0.0013313603891894337
square_unlimited,2,6.770822801627219e-05,128,5,0.2,3,8,0.00035295037105369443
square_unlimited,3,7.135484338505194e-05,64,2,0.3,8,5,0.0016417940088574831
square_unlimited,4,0.000137558818096295,64,3,0.1,3,3,0.00012424125377603104
parallelogram_unlimited,0,0.00021936529083177447,32,5,0.2,5,5,0.0010717589973807434
parallelogram_unlimited,1,5.537989636650309e-05,128,2,0.0,5,8,0.0013313603891894337
parallelogram_unlimited,2,6.193782610353082e-05,128,5,0.2,3,8,0.00035295037105369443
parallelogram_unlimited,3,9.596499876352027e-05,64,2,0.3,8,5,0.0016417940088574831
parallelogram_unlimited,4,0.00012376898666843772,64,3,0.1,3,3,0.00012424125377603104
square_unlimited,0,0.00013964244863018394,32,5,0.2,5,5,0.0010717589973807434
square_unlimited,1,4.939782593282871e-05,128,2,0.0,5,8,0.0013313603891894337
square_unlimited,2,5.3530144214164466e-05,128,5,0.2,3,8,0.00035295037105369443
square_unlimited,3,7.656712841708213e-05,64,2,0.3,8,5,0.0016417940088574831
square_unlimited,4,0.00014363459195010364,64,3,0.1,3,3,0.00012424125377603104
parallelogram_unlimited,0,0.0006572772399522364,32,5,0.2,5,5,0.0010717589973807434
parallelogram_unlimited,1,4.858634929405525e-05,128,2,0.0,5,8,0.0013313603891894337
parallelogram_unlimited,2,5.5692613386781886e-05,128,5,0.2,3,8,0.00035295037105369443
parallelogram_unlimited,3,8.53095916681923e-05,64,2,0.3,8,5,0.0016417940088574831
parallelogram_unlimited,4,0.00013032015704084188,64,3,0.1,3,3,0.00012424125377603104
